File,Start,Stop,Label,CCA_Label,Best_Freq,Correlation
S09.xdf,184041.60422733938,184046.61326318356,5,5,7.5,0.4055840576502707
S09.xdf,184053.21059807346,184058.21926831763,6,6,8.5,0.49864648811152934
S09.xdf,184064.8188639076,184070.01481825716,1,1,7.0,0.34792267430900803
S09.xdf,184076.62032474726,184081.61876999115,2,2,8.0,0.2835967111737467
S09.xdf,184088.22030258118,184093.22220042514,3,3,9.0,0.3458074412785231
S09.xdf,184099.92441331805,184104.82957295922,4,4,11.0,0.3524294778885915
S09.xdf,184111.631218555,184116.43566329332,5,5,7.5,0.37175509078545643
S09.xdf,184123.24153648922,184128.2551158335,6,6,8.5,0.43777980910653025
S10.xdf,423283.5934723876,423288.790196055,1,5,7.5,0.3050252759331327
S10.xdf,423295.39600704063,423300.39897810546,2,2,8.0,0.35025576868928454
S10.xdf,423307.1935679935,423312.1911149583,3,3,9.0,0.42414961883610347
S10.xdf,423318.7937010439,423323.7926347087,4,4,11.0,0.3462966529512233
S10.xdf,423330.38985879417,423335.38853185903,5,5,7.5,0.42303195543045174
S10.xdf,423341.98970774456,423347.1885812119,6,6,8.5,0.3932814965805207
S10.xdf,423353.79128629755,423358.78813806234,1,1,7.0,0.4495836777270934
S10.xdf,423365.38641364785,423370.4240493132,2,2,8.0,0.4563484511964618
S10.xdf,423376.99125359824,423382.216053666,3,3,9.0,0.4927502246841446
S10.xdf,423388.78546175116,423393.7853828159,4,4,11.0,0.3474498304763393
S10.xdf,423400.39024890156,423405.3865761664,5,5,7.5,0.3522642673856747
S10.xdf,423411.9795796518,423417.18158651923,6,6,8.5,0.36588623990633046
S10.xdf,423423.7796980048,423428.77908486954,1,1,7.0,0.36441202150609714
S10.xdf,423435.38940255524,423440.5828165225,2,2,8.0,0.4789312338662956
S10.xdf,423447.2145668085,423452.1789621729,3,3,9.0,0.3753438385370712
S10.xdf,423458.7756965584,423463.7833103233,4,4,11.0,0.33736412464347365
S10.xdf,423470.38456470886,423475.37920987356,5,5,7.5,0.4011313957581431
S10.xdf,423481.9932644593,423486.9759407239,6,6,8.5,0.3836442089353763
S10.xdf,423493.5772079095,423498.57805247436,1,1,7.0,0.41800805264048085
S10.xdf,423505.37373546243,423510.17575332464,2,2,8.0,0.34116038446812996
S10.xdf,423516.9750237128,423521.97480957763,3,3,9.0,0.37385624579500837
S10.xdf,423528.5744637631,423533.77238043054,4,4,11.0,0.2986863700826187
S10.xdf,423540.3772845161,423545.382174281,5,5,7.5,0.5239431165586663
S10.xdf,423551.97421776643,423556.97553683125,6,6,8.5,0.4078754327990906
